Alleinerziehende;Stadtteil
12,3;01 Altstadt - Lehel
8,03;02 Ludwigsvorstadt - Isarvorstadt
8,27;03 Maxvorstadt
7,54;04 Schwabing - West
6,02;05 Au - Haidhausen
6,24;06 Sendling
7,03;07 Sendling - Westpark
5,64;08 Schwanthalerhöhe
8,05;09 Neuhausen - Nymphenburg
8,83;10 Moosach
5,67;11 Milbertshofen - Am Hart
6,91;12 Schwabing - Freimann
7,19;13 Bogenhausen
7,13;14 Berg am Laim
8,97;15 Trudering - Riem
7,35;16 Ramersdorf - Perlach
5,54;17 Obergiesing - Fasangarten
6,9;18 Untergiesing - Harlaching
7,56;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
6,26;20 Hadern
6,65;21 Pasing - Obermenzing
7,23;22 Aubing - Lochhausen - Langwied
7,74;23 Allach - Untermenzing
6,36;24 Feldmoching - Hasenbergl
8,58;25 Laim
