"apotheke_pro_ew";"stadtteil"
"866,9";"01 Altstadt - Lehel"
"1683,1";"02 Ludwigsvorstadt - Isarvorstadt"
"2920,8";"03 Maxvorstadt"
"3727,4";"04 Schwabing - West"
"3037,8";"05 Au - Haidhausen"
"5052,8";"06 Sendling"
"5135";"07 Sendling - Westpark"
"3760,4";"08 Schwanthalerhöhe"
"3611,9";"09 Neuhausen - Nymphenburg"
"4787";"10 Moosach"
"4977,8";"11 Milbertshofen - Am Hart"
"3121,8";"12 Schwabing - Freimann"
"4415,8";"13 Bogenhausen"
"4002";"14 Berg am Laim"
"7562,6";"15 Trudering - Riem"
"6116,6";"16 Ramersdorf - Perlach"
"4395,3";"17 Obergiesing - Fasangarten"
"5828";"18 Untergiesing - Harlaching"
"3808,8";"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"6234,3";"20 Hadern"
"3783,2";"21 Pasing - Obermenzing"
"3896,3";"22 Aubing - Lochhausen - Langwied"
"6270,6";"23 Allach - Untermenzing"
"6695,8";"24 Feldmoching - Hasenbergl"
"3218,5";"25 Laim"
