Einwohnerdichte;Stadtteil
6614;01 Altstadt - Lehel
11855;02 Ludwigsvorstadt - Isarvorstadt
12233;03 Maxvorstadt
15378;04 Schwabing - West
14398;05 Au - Haidhausen
10263;06 Sendling
7228;07 Sendling - Westpark
14531;08 Schwanthalerhöhe
7551;09 Neuhausen - Nymphenburg
4747;10 Moosach
5565;11 Milbertshofen - Am Hart
2797;12 Schwabing - Freimann
3539;13 Bogenhausen
6972;14 Berg am Laim
3032;15 Trudering - Riem
5534;16 Ramersdorf - Perlach
9220;17 Obergiesing - Fasangarten
6510;18 Untergiesing - Harlaching
5146;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
5407;20 Hadern
4357;21 Pasing - Obermenzing
1258;22 Aubing - Lochhausen - Langwied
2029;23 Allach - Untermenzing
2082;24 Feldmoching - Hasenbergl
10351;25 Laim
