Haushalte mit Kindern;Stadtteil
11,56;01 Altstadt - Lehel
12,07;02 Ludwigsvorstadt - Isarvorstadt
9,49;03 Maxvorstadt
13,46;04 Schwabing - West
15,02;05 Au - Haidhausen
14,2;06 Sendling
15,42;07 Sendling - Westpark
15,43;08 Schwanthalerhöhe
15,47;09 Neuhausen - Nymphenburg
17,7;10 Moosach
17,81;11 Milbertshofen - Am Hart
15,64;12 Schwabing - Freimann
17,49;13 Bogenhausen
17,01;14 Berg am Laim
26,54;15 Trudering - Riem
19,51;16 Ramersdorf - Perlach
15,29;17 Obergiesing - Fasangarten
14,91;18 Untergiesing - Harlaching
16,88;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
19,08;20 Hadern
19,76;21 Pasing - Obermenzing
21,81;22 Aubing - Lochhausen - Langwied
22,58;23 Allach - Untermenzing
21,87;24 Feldmoching - Hasenbergl
13,41;25 Laim
