Motorisierungsgrad;Stadtteil
252,3;01 Altstadt - Lehel
36,8;02 Ludwigsvorstadt - Isarvorstadt
50,4;03 Maxvorstadt
35,9;04 Schwabing - West
34,5;05 Au - Haidhausen
37,4;06 Sendling
46,4;07 Sendling - Westpark
38,8;08 Schwanthalerhöhe
39,8;09 Neuhausen - Nymphenburg
55,3;10 Moosach
70,9;11 Milbertshofen - Am Hart
53,6;12 Schwabing - Freimann
57,3;13 Bogenhausen
41;14 Berg am Laim
53,6;15 Trudering - Riem
41,4;16 Ramersdorf - Perlach
33,8;17 Obergiesing - Fasangarten
40,4;18 Untergiesing - Harlaching
50,9;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
41,4;20 Hadern
47;21 Pasing - Obermenzing
46,6;22 Aubing - Lochhausen - Langwied
57,2;23 Allach - Untermenzing
43,2;24 Feldmoching - Hasenbergl
42,2;25 Laim
