"sterbealter_geschlecht";"sterbealter";"stadtteil"
"weiblich-gesamt";"79";"01 Altstadt - Lehel"
"weiblich-gesamt";"77";"02 Ludwigsvorstadt - Isarvorstadt"
"weiblich-gesamt";"77";"03 Maxvorstadt"
"weiblich-gesamt";"79";"04 Schwabing - West"
"weiblich-gesamt";"79";"05 Au - Haidhausen"
"weiblich-gesamt";"81";"06 Sendling"
"weiblich-gesamt";"81";"07 Sendling - Westpark"
"weiblich-gesamt";"75";"08 Schwanthalerhöhe"
"weiblich-gesamt";"80";"09 Neuhausen - Nymphenburg"
"weiblich-gesamt";"80";"10 Moosach"
"weiblich-gesamt";"78";"11 Milbertshofen - Am Hart"
"weiblich-gesamt";"79";"12 Schwabing - Freimann"
"weiblich-gesamt";"80";"13 Bogenhausen"
"weiblich-gesamt";"80";"14 Berg am Laim"
"weiblich-gesamt";"79";"15 Trudering - Riem"
"weiblich-gesamt";"80";"16 Ramersdorf - Perlach"
"weiblich-gesamt";"81";"17 Obergiesing - Fasangarten"
"weiblich-gesamt";"81";"18 Untergiesing - Harlaching"
"weiblich-gesamt";"82";"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"weiblich-gesamt";"80";"20 Hadern"
"weiblich-gesamt";"81";"21 Pasing - Obermenzing"
"weiblich-gesamt";"76";"22 Aubing - Lochhausen - Langwied"
"weiblich-gesamt";"79";"23 Allach - Untermenzing"
"weiblich-gesamt";"79";"24 Feldmoching - Hasenbergl"
"weiblich-gesamt";"79";"25 Laim"
"weiblich-gesamt";"80";"Stadt München"
